"Month","Online store visitors","Sessions","Month (previous_year)","Online store visitors (previous_year)","Sessions (previous_year)","Online store visitors (previous_year) ","Sessions (previous_year) "
"2024-01-01",11614,15741,"2023-01-01",12304,18483,-5.6079323797139145,-14.835254017205
"2024-02-01",9252,11681,"2023-02-01",12884,19212,-28.19000310462589,-39.19945867166354
"2024-03-01",8732,11560,"2023-03-01",13193,19423,-33.81338588645494,-40.48293260567369
"2024-04-01",14883,20621,"2023-04-01",17522,24523,-15.06106608834608,-15.911593198222077
"2024-05-01",9657,14470,"2023-05-01",17859,23530,-45.9264236519402,-38.50403739906503
"2024-06-01",16733,22676,"2023-06-01",21258,31250,-21.286104054944023,-27.4368
"2024-07-01",5698,8124,"2023-07-01",16858,23367,-66.20002372760707,-65.23302092694826
"2024-08-01",15200,21120,"2023-08-01",18269,24104,-16.798949039356287,-12.379688018586126
"2024-09-01",77306,84028,"2023-09-01",13375,18602,477.988785046729,351.71486936888505
"2024-10-01",18187,22703,"2023-10-01",19726,24713,-7.80188583595255,-8.133371100230647
"2024-11-01",17036,23124,"2023-11-01",24689,35373,-30.997610271780957,-34.628106182681705
"2024-12-01",17442,23324,"2023-12-01",19262,23942,-9.448655383656941,-2.5812379918135493
