"Week","Sessions that reached checkout","Sessions that completed checkout","Checkout conversion rate"
"2024-01-01",62,26,0.41935483870967744
"2024-01-08",130,67,0.5153846153846153
"2024-01-15",161,82,0.5093167701863354
"2024-01-22",136,67,0.49264705882352944
"2024-01-29",106,56,0.5283018867924528
"2024-02-05",90,41,0.45555555555555555
"2024-02-12",74,28,0.3783783783783784
"2024-02-19",95,42,0.4421052631578947
"2024-02-26",69,41,0.5942028985507246
"2024-03-04",69,32,0.463768115942029
"2024-03-11",82,36,0.43902439024390244
"2024-03-18",49,27,0.5510204081632653
"2024-03-25",91,49,0.5384615384615384
"2024-04-01",95,40,0.42105263157894735
"2024-04-08",141,74,0.524822695035461
"2024-04-15",239,137,0.5732217573221757
"2024-04-22",296,153,0.5168918918918919
"2024-04-29",368,188,0.5108695652173914
"2024-05-06",122,43,0.3524590163934426
"2024-05-13",71,36,0.5070422535211268
"2024-05-20",93,54,0.5806451612903226
"2024-05-27",81,37,0.4567901234567901
"2024-06-03",123,69,0.5609756097560976
"2024-06-10",78,37,0.47435897435897434
"2024-06-17",345,164,0.4753623188405797
"2024-06-24",160,55,0.34375
"2024-07-01",96,38,0.3958333333333333
"2024-07-08",34,18,0.5294117647058824
"2024-07-15",42,26,0.6190476190476191
"2024-07-22",83,44,0.5301204819277109
"2024-07-29",76,35,0.4605263157894737
"2024-08-05",185,102,0.5513513513513514
"2024-08-12",191,78,0.4083769633507853
"2024-08-19",93,31,0.3333333333333333
"2024-08-26",194,63,0.3247422680412371
"2024-09-02",189,63,0.3333333333333333
"2024-09-09",118,41,0.3474576271186441
"2024-09-16",111,46,0.4144144144144144
"2024-09-23",109,40,0.3669724770642202
"2024-09-30",48,20,0.4166666666666667
"2024-10-07",68,37,0.5441176470588235
"2024-10-14",84,37,0.44047619047619047
"2024-10-21",80,21,0.2625
"2024-10-28",74,23,0.3108108108108108
"2024-11-04",275,82,0.29818181818181816
"2024-11-11",192,58,0.3020833333333333
"2024-11-18",306,120,0.39215686274509803
"2024-11-25",353,118,0.3342776203966006
"2024-12-02",189,68,0.35978835978835977
"2024-12-09",126,33,0.2619047619047619
"2024-12-16",134,42,0.31343283582089554
"2024-12-23",230,92,0.4
"2024-12-30",92,39,0.42391304347826086
