"Week","Sessions"
"2025-01-06",4001
"2024-12-30",3493
"2025-03-03",2831
"2025-02-24",2529
"2025-01-13",2216
"2025-03-10",2120
"2025-02-17",2048
"2025-03-17",1659
"2025-01-27",1617
"2025-03-24",1606
"2025-02-03",1527
"2025-05-12",1489
"2025-11-17",1393
"2025-04-28",1378
"2025-05-05",1376
"2025-05-19",1356
"2025-01-20",1287
"2025-09-01",1284
"2025-04-14",1281
"2025-09-08",1249
"2025-04-07",1245
"2025-03-31",1219
"2025-05-26",1160
"2025-11-24",1085
"2025-06-09",1072
"2025-02-10",1044
"2025-09-15",971
"2025-06-16",955
"2025-06-23",950
"2025-04-21",889
"2025-08-25",857
"2025-06-02",851
"2025-08-11",748
"2025-06-30",729
"2025-07-28",719
"2025-12-01",715
"2025-09-29",653
"2025-10-27",642
"2025-08-18",577
"2025-09-22",543
"2025-08-04",529
"2025-11-10",525
"2025-11-03",486
"2025-10-13",477
"2025-10-20",443
"2025-07-07",422
"2025-10-06",410
"2025-07-21",390
"2025-07-14",309
